"Source:","D:\5to Ingeniería Electrónica\Electrónica de Potencia\TP2\dimmer\dimmer.kicad_sch"
"Date:","20/06/2023 15:16:13"
"Tool:","Eeschema 7.0.5"
"Component Count:","16"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"Arduino1","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","",""
"D1","FT0818MW","Package_TO_SOT_THT:TO-220-3_Vertical","~","",""
"D2","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","",""
"J1","AC","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","",""
"J2","Carga","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","",""
"J3","Trafo","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","",""
"J4","Entrada_Control","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","",""
"R1","1.5K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R2","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R3","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R4","3.3K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R5","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R6","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"U1","MOC3021M","Package_DIP:DIP-6_W7.62mm_LongPads","https://www.onsemi.com/pub/Collateral/MOC3023M-D.PDF","",""
"U2","4N25","Package_DIP:DIP-6_W7.62mm_LongPads","https://www.vishay.com/docs/83725/4n25.pdf","",""
"U3","LM358","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""
